fecha;pais;ingresos;costos;procentaje_muejeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-10-2013;peru;13,18218;3,3493;0,55474;1,9649;1,9842;0,85245;0,0035;0,11886;0,0559;0,0667
01-11-2013;peru;13,1612;3,2967;0,55426;1,9636;1,9767;0,85364;0,0041;0,15511;0,05577;0,06687
01-12-2013;peru;13,16878;3,2548;0,55127;1,96902;1,961;0,85481;0,0038;0,12977;0,05603;0,06723
01-01-2014;peru;13,36635;3,2863;0,55261;1,9629;1,9746;0,87328;0,0049;0,14627;0,05544;0,06654
01-02-2014;peru;13,3011;3,2997;0,55436;1,96194;1,9799;0,87252;0,0053;0,13385;0,05404;0,06664
01-03-2014;peru;13,84268;3,2413;0,54989;1,96513;1,9623;0,8726;0,0054;0,23295;0,05246;0,06696
01-04-2014;peru;13,92831;3,2661;0,55018;1,96285;1,9695;0,87289;0,0056;0,12947;0,05085;0,06625
01-05-2014;peru;13,86296;3,2543;0,54966;1,96615;1,9635;0,87255;0,0056;0,15393;0,04909;0,06639
01-06-2014;peru;13,72051;3,2791;0,55224;1,96149;1,9754;0,87197;0,0043;0,13609;0,04714;0,06594
01-07-2014;peru;13,43517;3,2803;0,55149;1,96106;1,9756;0,87153;0,0055;0,12947;0,0434;0,0653
01-08-2014;peru;13,40789;3,2921;0,55122;1,95827;1,9807;0,87151;0,0065;0,14317;0,0417;0,0648
01-09-2014;peru;14,07369;3,2839;0,5491;1,96271;1,972;0,87183;0,0071;0,14483;0,03869;0,06409
01-10-2014;peru;14,06363;3,3221;0,55225;1,96233;1,9822;0,87256;0,0072;0,1329;0,03718;0,06318
01-11-2014;peru;13,91949;3,3117;0,55149;1,96529;1,9767;0,87251;0,0075;0,13987;0,03632;0,06432
01-12-2014;peru;13,64707;3,3398;0,55198;1,96298;1,986;0,87363;0,0066;0,12818;0,03381;0,06421
01-01-2015;peru;13,5036;3,3546;0,54962;1,95853;1,9914;0,89182;0,0075;0,16044;0,03145;0,06395
01-02-2015;peru;13,55017;3,3436;0,55131;1,95933;1,9889;0,88799;0,0077;0,15225;0,03231;0,06331
01-03-2015;peru;13,98218;3,3014;0,54284;1,98617;1,9361;0,88893;0,0079;0,12595;0,03031;0,06321
01-04-2015;peru;13,92862;3,3098;0,54256;1,98197;1,9427;0,88906;0,0087;0,13694;0,02898;0,06418
01-05-2015;peru;13,87295;3,2985;0,54265;1,96616;1,9593;0,88784;0,0085;0,15707;0,02846;0,06436
01-06-2015;peru;13,7778;3,252;0,54021;1,97123;1,9423;0,88753;0,0086;0,13939;0,02356;0,06396
01-07-2015;peru;14,00917;3,2475;0,53868;1,97427;1,9368;0,8873;0,009;0,14346;0,02264;0,06454
01-08-2015;peru;13,79808;3,3239;0,54202;1,96704;1,9623;0,88829;0,0106;0,15024;0,02288;0,06428
01-09-2015;peru;13,70911;3,3112;0,53987;1,96596;1,9592;0,88855;0,0106;0,14669;0,02262;0,06382
01-10-2015;peru;13,79733;3,2905;0,53788;1,96981;1,9479;0,88781;0,0106;0,14387;0,02101;0,06351
01-11-2015;peru;13,60608;3,2881;0,53781;1,97045;1,9468;0,7107;0,0103;0,15537;0,01863;0,06323
01-12-2015;peru;13,69617;3,2725;0,53857;1,97351;1,9415;0,7045;0,0098;0,12339;0,01482;0,06322
01-01-2016;peru;13,57534;3,3053;0,53762;1,97027;1,9509;0,65794;0,0107;0,14786;0,01557;0,06357
01-02-2016;peru;13,5396;3,2915;0,54005;1,96573;1,9547;0,68957;0,0123;0,16669;0,01074;0,06294
01-03-2016;peru;14,24835;3,3254;0,5428;1,96766;1,9611;0,68913;0,0106;0,14978;0,01057;0,06287
01-04-2016;peru;14,26209;3,3061;0,54018;1,97145;1,9514;0,69865;0,0112;0,1886;0,01045;0,06285
01-05-2016;peru;14,46289;3,2916;0,53885;1,97725;1,9406;0,72877;0,0107;0,12312;0,00985;0,06265
01-06-2016;peru;14,49874;3,2736;0,53619;1,98119;1,9302;0,71659;0,0107;0,12616;0,0089;0,0623
01-07-2016;peru;14,84631;3,2463;0,53444;1,98195;1,924;0,72409;0,0096;0,12369;0,00789;0,06159
01-08-2016;peru;14,99465;3,2394;0,53261;1,98103;1,9213;0,73272;0,0098;0,11243;0,00681;0,06161
01-09-2016;peru;14,92858;3,2626;0,53352;1,97644;1,9321;0,7352;0,0096;0,13454;0,00588;0,06118
01-10-2016;peru;14,93217;3,2403;0,5326;1,97847;1,9244;0,73795;0,0126;0,1224;0,00524;0,06034
01-11-2016;peru;14,8967;3,2634;0,5337;1,97654;1,9324;0,73963;0,0126;0,0999;0,00464;0,06014
01-12-2016;peru;14,75955;3,2507;0,53752;1,97222;1,9381;0,73876;0,0092;0,1074;-0,00192;0,05968
01-01-2017;peru;14,89228;3,258;0,53448;1,97451;1,9335;0,71857;0,0109;0,10853;0,00276;0,05946
01-02-2017;peru;14,90454;3,2768;0,53235;1,97462;1,9349;0,72307;0,0109;0,10243;-0,0018;0,0587
01-03-2017;peru;15,51286;3,2019;0,52344;1,98325;1,9065;0,72716;0,0109;0,10611;0,0011;0,0581
01-04-2017;peru;15,58421;3,2342;0,52137;1,98497;1,9094;0,7327;0,0121;0,12205;0,00368;0,05768
01-05-2017;peru;15,54769;3,2208;0,52118;1,98663;1,9036;0,73726;0,0129;0,10511;-0,00274;0,05786
01-06-2017;peru;15,42925;3,1881;0,52069;1,98946;1,8933;0,73483;0,0116;0,11079;0,00476;0,05766
01-07-2017;peru;15,61747;3,2232;0,51898;1,98409;1,9066;0,73739;0,013;0,11468;-0,00185;0,05735
01-08-2017;peru;15,63631;3,1874;0,51784;1,98834;1,8947;0,73869;0,011;0,0985;0,0001;0,057
01-09-2017;peru;15,47471;3,1653;0,52436;1,9838;1,8991;0,73603;0,0111;0,09986;-0,00833;0,05727
