fecha;pais;ingresos;costos;procentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-04-2014;chile;12,9236;1,992;0,3929;2,2966;1,269;0,497;0,0408;2,256;0,0196;0,0597
01-05-2014;chile;13,0891;1,996;0,3924;2,297;1,267;0,4941;0,041;2,2743;0,0159;0,056
01-06-2014;chile;13,235;1,99;0,3906;2,3002;1,263;0,4979;0,0413;2,2838;0,0167;0,0568
01-07-2014;chile;13,0943;2,009;0,3924;2,2983;1,268;0,506;0,0397;2,2619;0,0195;0,0584
01-08-2014;chile;12,9977;1,986;0,3909;2,3009;1,264;0,5093;0,0393;2,3357;0,0176;0,0541
01-09-2014;chile;12,9713;1,981;0,3888;2,3029;1,26;0,512;0,0403;2,3284;0,0189;0,0525
01-10-2014;chile;13,1376;1,985;0,3889;2,3007;1,263;0,5095;0,0383;2,3496;0,0197;0,0513
01-11-2014;chile;12,9517;1,992;0,3897;2,3011;1,263;0,506;0,0381;2,3521;0,0205;0,0508
01-12-2014;chile;13,1582;1,97;0,3855;2,3079;1,251;0,5078;0,0349;2,3591;0,021;0,0512
01-01-2015;chile;12,9395;1,972;0,3849;2,3083;1,25;0,7132;0,0369;2,3931;0,0204;0,0506
01-02-2015;chile;13,0867;1,992;0,3864;2,3061;1,254;0,6555;0,038;2,3971;0,0207;0,0509
01-03-2015;chile;12,9899;2,009;0,388;2,3027;1,259;0,6069;0,0393;2,3047;0,0214;0,0516
01-04-2015;chile;13,0546;2,025;0,3891;2,2982;1,265;0,5779;0,0393;2,3042;0,0217;0,0519
01-05-2015;chile;13,0603;2,022;0,3905;2,2899;1,269;0,5639;0,039;2,2921;0,0207;0,0508
01-06-2015;chile;12,8465;2,015;0,3911;2,2894;1,27;0,5605;0,0402;2,3201;0,0231;0,0533
01-07-2015;chile;12,5161;2,02;0,3954;2,277;1,284;0,5572;0,0386;2,3183;0,0227;0,0528
01-08-2015;chile;12,4268;2,031;0,3974;2,2684;1,29;0,553;0,039;2,3338;0,0223;0,0524
01-09-2015;chile;12,3828;2,018;0,3946;2,2713;1,284;0,545;0,0377;2,3492;0,0215;0,0517
01-10-2015;chile;12,3939;2;0,3929;2,2721;1,281;0,5385;0,0389;2,3548;0,0214;0,0529
01-11-2015;chile;12,4358;1,975;0,3892;2,2754;1,273;0,5366;0,04;2,3575;0,0224;0,0551
01-12-2015;chile;12,4261;1,965;0,3877;2,2759;1,27;0,5395;0,0348;2,4001;0,0208;0,0543
01-01-2016;chile;12,2375;1,974;0,3873;2,2758;1,27;0,5773;0,0399;2,4048;0,0223;0,0576
01-02-2016;chile;12,3658;1,974;0,3872;2,2744;1,272;0,5467;0,0385;2,4271;0,0223;0,0575
01-03-2016;chile;12,7795;1,979;0,3873;2,2726;1,275;0,5353;0,0407;2,4426;0,0221;0,0574
01-04-2016;chile;11,3424;1,982;0,3886;2,1882;1,348;0,5317;0,041;2,4788;0,022;0,0572
01-05-2016;chile;11,4839;1,994;0,3884;2,1903;1,346;0,5287;0,0419;2,476;0,0214;0,0566
01-06-2016;chile;11,5585;1,99;0,3875;2,1884;1,347;0,5267;0,0429;2,468;0,0199;0,0553
01-07-2016;chile;11,7841;1,987;0,3871;2,1899;1,345;0,5267;0,0433;2,4668;0,0201;0,0556
01-08-2016;chile;11,6978;1,988;0,3868;2,1912;1,343;0,5263;0,041;2,4888;0,0199;0,0553
01-09-2016;chile;11,8743;1,998;0,388;2,19;1,346;0,5302;0,0411;2,4415;0,0203;0,0556
01-10-2016;chile;11,9181;2;0,387;2,1899;1,345;0,5323;0,0432;2,4271;0,0194;0,0547
01-11-2016;chile;11,8208;1,993;0,387;2,1937;1,34;0,5349;0,0438;2,4335;0,019;0,0542
01-12-2016;chile;11,9249;1,989;0,3867;2,1942;1,339;0,5362;0,0397;2,4537;0,0187;0,0538
01-01-2017;chile;11,811;1,981;0,3854;2,1939;1,335;0,6048;0,043;2,4401;0,0203;0,0545
01-02-2017;chile;11,859;1,98;0,3849;2,1954;1,334;0,5668;0,0421;2,4519;0,0203;0,0527
01-03-2017;chile;11,8242;1,982;0,3844;2,1978;1,33;0,5537;0,0417;2,4473;0,0199;0,0516
01-04-2017;chile;11,7776;1,967;0,3817;2,1993;1,326;0,5353;0,0443;2,4465;0,021;0,0502
01-05-2017;chile;11,7578;1,958;0,3822;2,1816;1,336;0,5379;0,0418;2,4984;0,0194;0,0464
01-06-2017;chile;11,8442;1,952;0,3815;2,1816;1,336;0,5465;0,0427;2,4793;0,021;0,0465
01-07-2017;chile;11,9103;1,958;0,3809;2,1827;1,335;0,5611;0,043;2,4943;0,0201;0,0456
01-08-2017;chile;11,9061;1,954;0,3799;2,1838;1,333;0,5636;0,0413;2,4762;0,0186;0,044
01-09-2017;chile;11,9894;1,97;0,3797;2,1844;1,332;0,568;0,0421;2,4612;0,0178;0,0433
