fecha;pais;ingresos;costos;procentaje_muejeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-10-2014;peru;14,06363;3,3221;0,55225;1,96233;1,9822;0,87256;0,0456;0,132905;0,037177;0,063177
01-11-2014;peru;13,91949;3,3117;0,55149;1,96529;1,9767;0,87251;0,0456;0,139866;0,036315;0,064315
01-12-2014;peru;13,64707;3,3398;0,55198;1,96298;1,986;0,87363;0,0472;0,128181;0,033814;0,064214
01-01-2015;peru;13,5036;3,3546;0,54962;1,95853;1,9914;0,89182;0,053;0,160436;0,031446;0,063946
01-02-2015;peru;13,55017;3,3436;0,55131;1,95933;1,9889;0,88799;0,0535;0,152245;0,032307;0,063307
01-03-2015;peru;13,98218;3,3014;0,54284;1,98617;1,9361;0,88893;0,0499;0,12595;0,030314;0,063214
01-04-2015;peru;13,92862;3,3098;0,54256;1,98197;1,9427;0,88906;0,0514;0,136937;0,028979;0,064179
01-05-2015;peru;13,87295;3,2985;0,54265;1,96616;1,9593;0,88784;0,0528;0,157069;0,028462;0,064362
01-06-2015;peru;13,7778;3,252;0,54021;1,97123;1,9423;0,88753;0,054;0,139387;0,023562;0,063962
01-07-2015;peru;14,00917;3,2475;0,53868;1,97427;1,9368;0,8873;0,0576;0,143456;0,022636;0,064536
01-08-2015;peru;13,79808;3,3239;0,54202;1,96704;1,9623;0,88829;0,0544;0,150235;0,02288;0,06428
01-09-2015;peru;13,70911;3,3112;0,53987;1,96596;1,9592;0,88855;0,0527;0,146689;0,022618;0,063818
01-10-2015;peru;13,79733;3,2905;0,53788;1,96981;1,9479;0,88781;0,0548;0,143871;0,021011;0,063511
01-11-2015;peru;13,60608;3,2881;0,53781;1,97045;1,9468;0,7107;0,0561;0,155372;0,018627;0,063227
01-12-2015;peru;13,69617;3,2725;0,53857;1,97351;1,9415;0,7045;0,0521;0,123395;0,014822;0,063222
01-01-2016;peru;13,57534;3,3053;0,53762;1,97027;1,9509;0,65794;0,0546;0,14786;0,01557;0,06357
01-02-2016;peru;13,5396;3,2915;0,54005;1,96573;1,9547;0,68957;0,0557;0,166691;0,010737;0,062937
01-03-2016;peru;14,24835;3,3254;0,5428;1,96766;1,9611;0,68913;0,0558;0,149778;0,010569;0,062869
01-04-2016;peru;14,26209;3,3061;0,54018;1,97145;1,9514;0,69865;0,0568;0,188595;0,01045;0,06285
01-05-2016;peru;14,46289;3,2916;0,53885;1,97725;1,9406;0,72877;0,0592;0,123119;0,009853;0,062653
01-06-2016;peru;14,49874;3,2736;0,53619;1,98119;1,9302;0,71659;0,0594;0,126157;0,008901;0,062301
01-07-2016;peru;14,84631;3,2463;0,53444;1,98195;1,924;0,72409;0,0606;0,123686;0,007891;0,061591
01-08-2016;peru;14,99465;3,2394;0,53261;1,98103;1,9213;0,73272;0,0642;0,11243;0,006809;0,061609
01-09-2016;peru;14,92858;3,2626;0,53352;1,97644;1,9321;0,7352;0,0627;0,134542;0,005881;0,061181
01-10-2016;peru;14,93217;3,2403;0,5326;1,97847;1,9244;0,73795;0,0644;0,122398;0,005237;0,060337
01-11-2016;peru;14,8967;3,2634;0,5337;1,97654;1,9324;0,73963;0,0652;0,0999;0,004637;0,060137
01-12-2016;peru;14,75955;3,2507;0,53752;1,97222;1,9381;0,73876;0,0608;0,107397;-0,001917;0,059683
01-01-2017;peru;14,89228;3,258;0,53448;1,97451;1,9335;0,71857;0,0674;0,108532;0,002759;0,059459
01-02-2017;peru;14,90454;3,2768;0,53235;1,97462;1,9349;0,72307;0,0679;0,10243;-0,001803;0,058697
01-03-2017;peru;15,51286;3,2019;0,52344;1,98325;1,9065;0,72716;0,0684;0,106113;0,001102;0,058102
01-04-2017;peru;15,58421;3,2342;0,52137;1,98497;1,9094;0,7327;0,0704;0,122054;0,003676;0,057676
01-05-2017;peru;15,54769;3,2208;0,52118;1,98663;1,9036;0,73726;0,0702;0,105105;-0,002743;0,057857
01-06-2017;peru;15,42925;3,1881;0,52069;1,98946;1,8933;0,73483;0,0693;0,110793;0,004756;0,057656
01-07-2017;peru;15,61747;3,2232;0,51898;1,98409;1,9066;0,73739;0,0713;0,11468;-0,001855;0,057345
01-08-2017;peru;15,63631;3,1874;0,51784;1,98834;1,8947;0,73869;0,0725;0,098501;0,000104;0,057004
01-09-2017;peru;15,47471;3,1653;0,52436;1,9838;1,8991;0,73603;0,0708;0,09986;-0,008332;0,057268
