fecha;pais;ingresos;costos;procentaje_muejeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-11-2016;chile;11,8208;1,993;0,387;2,1937;1,34;0,5349;0,0543;2,4335;0,1148;0,15
01-12-2016;chile;11,9249;1,989;0,3867;2,1942;1,339;0,5362;0,0531;2,4537;0,1139;0,1491
01-01-2017;chile;11,811;1,981;0,3854;2,1939;1,335;0,6048;0,0524;2,4401;0,1148;0,1491
01-02-2017;chile;11,859;1,98;0,3849;2,1954;1,334;0,5668;0,0534;2,4519;0,1213;0,1536
01-03-2017;chile;11,8242;1,982;0,3844;2,1978;1,33;0,5537;0,0528;2,4473;0,1174;0,1492
01-04-2017;chile;11,7776;1,967;0,3817;2,1993;1,326;0,5353;0,0533;2,4465;0,1171;0,1462
01-05-2017;chile;11,7578;1,958;0,3822;2,1816;1,336;0,5379;0,0535;2,4984;0,1179;0,1449
01-06-2017;chile;11,8442;1,952;0,3815;2,1816;1,336;0,5465;0,0497;2,4793;0,1191;0,1446
01-07-2017;chile;11,9103;1,958;0,3809;2,1827;1,335;0,5611;0,0466;2,4943;0,1207;0,1462
01-08-2017;chile;11,9061;1,954;0,3799;2,1838;1,333;0,5636;0,0443;2,4762;0,1214;0,1469
01-09-2017;chile;11,9894;1,97;0,3797;2,1844;1,332;0,568;0,0488;2,4612;0,1197;0,1452
